NAME                                              	CHART VERSION	APP VERSION	DESCRIPTION                                       
prometheus-community/kube-prometheus-stack        	48.3.3       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	48.3.2       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	48.3.1       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	48.3.0       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	48.2.3       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	48.2.2       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	48.2.1       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	48.2.0       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	48.1.2       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	48.1.1       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	48.1.0       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	48.0.1       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	48.0.0       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	47.6.1       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	47.6.0       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	47.5.0       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	47.4.0       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	47.3.0       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	47.2.1       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	47.2.0       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	47.1.0       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	47.0.1       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	47.0.0       	v0.66.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	46.8.0       	v0.65.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	46.7.0       	v0.65.2    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	46.6.0       	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	46.5.0       	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	46.4.2       	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	46.4.1       	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	46.4.0       	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	46.3.0       	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	46.2.0       	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	46.1.0       	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	46.0.0       	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.31.1      	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.31.0      	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.30.1      	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.30.0      	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.29.0      	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.28.1      	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.28.0      	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.27.2      	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.27.1      	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.27.0      	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.26.0      	v0.65.1    	kube-prometheus-stack collects Kubernetes manif...
